#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
39.868	347	39.894	575
39.918	315	39.944	595
39.969	288	39.995	610
40.020	270	40.045	618
40.071	261	40.096	617
40.121	259	40.147	611
40.172	265	40.198	597
40.222	282	40.248	578
40.274	302	40.299	552
40.324	331	40.349	523
40.375	366	40.401	492
40.425	400	40.451	460
40.476	437	40.502	429
40.526	473	40.552	402
40.578	506	40.603	378
40.628	535	40.653	363
40.679	557	40.705	353
40.729	571	40.755	348
40.780	576	40.806	353
40.831	575	40.856	364
40.882	564	40.907	383
40.932	545	40.958	405
40.983	520	41.009	433
41.033	487	41.059	464
41.085	453	41.110	495
41.135	417	41.160	526
41.186	381	41.212	555
41.236	346	41.262	579
41.287	317	41.313	599
41.337	291	41.363	612
41.389	275	41.414	618
41.439	266	41.464	616
41.490	265	41.516	608
41.540	271	41.566	594
41.591	286	41.617	572
41.642	309	41.667	545
41.693	336	41.718	516
41.743	369	41.769	485
41.794	404	41.820	453
41.844	439	41.870	424
41.896	475	41.921	396
41.946	506	41.971	376
41.997	533	42.023	360
42.047	553	42.073	352
42.098	566	42.124	349
42.148	571	42.174	353
42.200	568	42.225	368
42.251	557	42.275	387
42.301	538	42.327	411
42.352	513	42.377	440
42.402	482	42.428	471
42.454	449	42.478	502
42.504	412	42.529	533
42.555	378	42.580	560
42.605	346	42.631	584
42.656	318	42.681	602
42.707	296	42.732	613
42.758	279	42.782	618
42.808	270	42.834	615
42.859	270	42.884	604
42.909	278	42.935	589
42.961	293	42.985	566
43.011	314	43.036	540
43.062	342	43.086	510
43.112	374	43.138	478
43.163	407	43.188	448
43.213	442	43.239	418
43.265	475	43.289	393
43.315	506	43.340	371
43.366	531	43.391	358
43.416	550	43.442	352
43.467	562	43.492	350
43.518	566	43.543	357
43.569	563	43.593	371
43.619	550	43.645	391
43.670	532	43.695	416
43.720	507	43.746	446
43.772	477	43.796	476
43.822	445	43.847	508
43.873	411	43.897	538
43.923	377	43.949	565
43.974	346	43.999	588
44.024	319	44.050	604
44.076	298	44.100	614
44.126	283	44.151	618
44.177	276	44.202	614
44.227	276	44.253	602
44.278	285	44.303	585
44.329	299	44.354	562
44.380	322	44.404	534
44.430	348	44.456	504
44.481	379	44.506	473
44.531	413	44.557	442
44.583	447	44.607	414
44.633	477	44.658	388
44.684	504	44.708	369
44.734	529	44.760	357
44.785	546	44.810	350
44.835	556	44.861	351
44.887	560	44.911	359
44.937	556	44.962	376
44.988	543	45.013	396
45.038	524	45.064	421
45.089	499	45.114	451
45.140	471	45.165	481
45.191	439	45.216	513
45.241	406	45.267	542
45.292	376	45.318	569
45.342	345	45.368	591
45.394	320	45.419	606
45.444	300	45.469	615
45.495	288	45.521	617
45.545	283	45.571	613
45.596	283	45.622	599
45.646	292	45.672	582
45.698	307	45.723	558
45.748	329	45.773	530
45.799	355	45.825	498
45.849	385	45.875	468
45.900	416	45.926	437
45.951	448	45.976	409
46.002	478	46.027	385
46.052	505	46.078	368
46.103	527	46.129	355
46.153	542	46.179	350
46.205	552	46.230	352
46.255	554	46.280	361
46.306	548	46.332	377
46.356	536	46.382	399
46.407	518	46.433	425
46.457	493	46.483	454
46.509	464	46.534	486
46.559	433	46.584	518
46.610	403	46.636	547
46.660	373	46.686	572
46.711	345	46.737	593
46.762	321	46.787	608
46.813	304	46.838	616
46.863	292	46.889	616
46.914	287	46.940	610
46.964	290	46.990	597
47.016	298	47.041	578
47.066	316	47.091	554
47.117	336	47.143	526
47.167	362	47.193	495
47.218	390	47.244	464
47.268	421	47.294	433
47.320	451	47.345	406
47.370	480	47.395	383
47.421	506	47.447	366
47.471	525	47.497	355
47.522	539	47.548	350
47.573	547	47.598	351
47.624	548	47.649	363
47.674	541	47.700	380
47.725	529	47.751	402
47.775	509	47.801	429
47.827	483	47.852	459
47.877	458	47.902	490
47.928	429	47.954	521
47.978	399	48.004	551
48.029	370	48.055	577
48.079	344	48.105	594
48.131	323	48.156	609
48.181	306	48.206	616
48.232	296	48.258	616
48.282	293	48.308	609
48.333	297	48.359	595
48.384	306	48.409	575
48.435	322	48.460	551
48.486	344	48.511	522
48.536	368	48.562	491
48.587	397	48.612	461
48.638	426	48.663	431
48.689	455	48.713	404
48.739	481	48.765	381
48.790	505	48.815	364
48.840	523	48.866	354
48.892	535	48.916	350
