#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
49.448	364	49.474	476
49.499	359	49.524	485
49.550	359	49.575	493
49.601	364	49.626	501
49.651	372	49.677	509
49.702	384	49.727	515
49.753	401	49.778	519
49.804	419	49.828	523
49.854	439	49.880	523
49.905	460	49.930	522
49.955	480	49.981	519
50.007	497	50.031	515
50.057	513	50.082	510
50.108	525	50.132	503
50.158	531	50.184	496
50.209	536	50.234	489
50.259	534	50.285	483
50.311	528	50.335	476
50.361	518	50.386	471
50.412	504	50.437	466
50.462	486	50.488	463
50.513	467	50.538	462
50.564	447	50.589	463
50.615	427	50.639	463
50.665	407	50.691	465
50.716	390	50.741	469
50.766	376	50.792	473
50.818	365	50.842	478
50.868	359	50.893	484
50.919	358	50.944	489
50.969	359	50.995	495
51.020	368	51.045	498
51.070	379	51.096	503
51.122	394	51.146	506
51.172	412	51.197	507
51.223	432	51.248	510
51.273	452	51.299	508
51.324	474	51.349	507
51.375	492	51.400	505
51.426	509	51.450	502
51.476	523	51.502	498
51.527	532	51.552	495
51.577	536	51.603	490
51.629	537	51.653	487
51.679	532	51.704	484
51.730	523	51.755	480
51.780	510	51.806	478
51.831	494	51.856	476
51.881	474	51.907	475
51.933	454	51.957	476
51.983	433	52.008	476
52.034	414	52.059	477
52.084	395	52.110	478
52.135	379	52.160	480
52.186	368	52.211	482
52.237	359	52.261	485
52.287	357	52.313	487
52.338	358	52.363	490
52.388	364	52.414	492
52.440	374	52.464	493
52.490	388	52.515	493
52.541	405	52.566	495
52.591	424	52.617	495
52.642	445	52.668	494
52.692	465	52.718	494
52.744	486	52.769	494
52.794	503	52.819	493
52.845	518	52.871	492
52.895	529	52.921	491
52.946	535	52.972	490
52.997	537	53.022	489
53.048	534	53.073	489
53.098	527	53.124	489
53.149	515	53.175	488
53.199	499	53.225	488
53.251	481	53.276	489
53.301	461	53.326	489
53.352	440	53.378	489
53.402	420	53.428	489
53.453	401	53.479	488
53.504	385	53.529	488
53.555	372	53.580	488
53.605	363	53.630	488
53.656	357	53.682	487
53.706	358	53.732	487
53.757	363	53.783	486
53.808	371	53.833	485
53.859	383	53.884	485
53.909	400	53.935	486
53.960	418	53.986	484
54.010	438	54.036	484
54.062	458	54.087	484
54.112	478	54.137	483
54.163	497	54.189	485
54.213	512	54.239	487
54.264	525	54.290	487
54.315	532	54.340	489
54.366	536	54.391	490
54.416	535	54.441	492
54.467	529	54.493	493
54.517	518	54.543	495
54.568	504	54.594	496
54.619	487	54.644	496
54.670	468	54.695	497
54.720	448	54.746	496
54.771	427	54.797	496
54.821	408	54.847	495
54.873	392	54.898	493
54.923	378	54.948	492
54.974	367	55.000	491
55.024	361	55.050	487
55.075	361	55.101	485
55.126	361	55.151	483
55.177	369	55.202	480
55.227	381	55.252	478
55.278	395	55.304	478
55.328	413	55.354	477
55.379	432	55.405	477
55.430	451	55.455	477
55.481	471	55.506	478
55.531	490	55.557	480
55.582	506	55.608	482
55.632	518	55.658	485
55.684	525	55.709	487
55.734	532	55.759	490
55.785	532	55.811	493
55.835	528	55.861	497
55.886	520	55.912	498
55.937	508	55.962	500
55.988	491	56.013	501
56.038	474	56.064	504
56.089	455	56.115	503
56.139	435	56.165	503
56.190	416	56.216	501
56.241	399	56.266	499
56.292	385	56.317	496
56.343	373	56.368	493
56.393	364	56.419	489
56.444	362	56.469	485
56.495	363	56.520	481
56.546	368	56.570	478
56.596	378	56.622	474
56.647	391	56.672	474
56.697	407	56.723	472
56.749	425	56.773	469
56.799	445	56.824	470
56.850	464	56.875	472
56.900	481	56.926	474
56.951	498	56.976	476
57.001	512	57.027	480
